SKU,Product Name,Category,Barcode,Status,Stock Locator,Issue Type,On Hand,Available,Allocated,Bins With Stock,Unassigned Stock (no bin),Detail
R107M-15W-CW-60-V1,Module for R107 head range - 15w CW 60 degrees *,Downlights,9727435302042,Active,B.16.L1,LOCATOR_MISMATCH,2,2,0,MA-B-16-L4,0,stock_locator=B.16.L1 but stock is in [MA-B-16-L4]
R107M-24,24 degree reflector and lamp for R107m module,Downlights,9727435738391,Active,MA-A-02-L5-P1,LOCATOR_MISMATCH,286,286,0,MA-A-02-L5-P2,0,stock_locator=MA-A-02-L5-P1 but stock is in [MA-A-02-L5-P2]
R107M-6W-WW-60,Module for R107 head range - 6w WW 60 degrees *,Downlights,9727435302394,Active,B.15.L2,LOCATOR_MISMATCH,5,5,0,MA-B-15-L2 | MA-DOCK,0,"stock_locator=B.15.L2 but stock is in [MA-B-15-L2, MA-DOCK]"
R107M-6W-WW-60-V2,Module for R107 head range - 6w WW 60 degrees,Downlights,9727435309898,Active,MA-B-15-L2,LOCATOR_MISMATCH,3,3,0,MA-DOCK,0,stock_locator=MA-B-15-L2 but stock is in [MA-DOCK]
R107M-9W-WW-60-V1,Module for R107 head range - 9w WW 60 degrees *,Downlights,9727435302493,Active,B.15.L2,LOCATOR_MISMATCH,3,3,0,MA-B-16-L4,0,stock_locator=B.15.L2 but stock is in [MA-B-16-L4]
R107M-CW-60,12W - 6W Module for R107 head range - CW 60 degrees,Downlights,9727435681536,Active,MA-B-15-L1,LOCATOR_MISMATCH,3,3,0,MA-PRODUCTION,0,stock_locator=MA-B-15-L1 but stock is in [MA-PRODUCTION]
R107M-WW-24,12W - 6W Module for R107 head range - WW 24 degrees,Downlights,9727435329995,Active,MA-B-15-L1,LOCATOR_MISMATCH,7,3,4,MA-B-16-L1 | MA-DOCK,0,"stock_locator=MA-B-15-L1 but stock is in [MA-B-16-L1, MA-DOCK]"
R107M-WW-60,12W - 6W Module for R107 head range - WW 60 degrees,Downlights,9727435299922,Active,MA-B-16-L1,LOCATOR_MISMATCH,1553,1552,1,MA-B-07-L1-P1 | MA-C-04-L4-P2,0,"stock_locator=MA-B-16-L1 but stock is in [MA-B-07-L1-P1, MA-C-04-L4-P2]"
R1083-BK-WW,"33w Dimmable COB Downlight with Remote Driver, IP54, 200mm Cut out, Warm White 3000K Black *",Downlights,0,Active,MA-A-13-L1,LOCATOR_MISMATCH,9,9,0,MA-B-10-L2,0,stock_locator=MA-A-13-L1 but stock is in [MA-B-10-L2]
R1091-10-BK-SIL-TRI,"10W Dimmable Black COB Downlight with Silver Reflector, IP54 90mm Cutout, Tri Colour 60o UGR19 with F&P",Downlights,9727435298949,Active,MA-B-12-L2-P1,LOCATOR_MISMATCH,386,386,0,MA-A-14-L5-P2 | MA-B-12-L2,0,"stock_locator=MA-B-12-L2-P1 but stock is in [MA-A-14-L5-P2, MA-B-12-L2]"
R1091-10-WH-SIL-TRI,"10W Dimmable White COB Downlight with Silver Reflector, IP54 90mm Cutout, Tri Colour 60o UGR19 with F&P",Downlights,9727435300680,Active,MA-B-12-L2-P1,LOCATOR_MISMATCH,12,12,0,MA-B-12-L2,0,stock_locator=MA-B-12-L2-P1 but stock is in [MA-B-12-L2]
R1092-18-BK-SIL-CW,"18w Dimmable COB Downlight, 60o Beam UGR19, with F&P IP54 120mm Cut Out, Black, Silver reflector, CW *",Downlights,9727435306187,Active,MA-B-11-L4-P2,LOCATOR_MISMATCH,21,21,0,MA-B-16-L6-P2,0,stock_locator=MA-B-11-L4-P2 but stock is in [MA-B-16-L6-P2]
R1092-18-WH-SIL-CW,"18w Dimmable COB Downlight, 60o Beam UGR19, with F&P IP54 120mm Cut Out, White, Silver reflector, CW *",Downlights,9727435300208,Active,MA-B-13-L2,LOCATOR_MISMATCH,2,2,0,MA-B-16-L6-P2,0,stock_locator=MA-B-13-L2 but stock is in [MA-B-16-L6-P2]
R1093-25-WH-SIL-WW,"25w Dimmable COB Downlight, 60o Beam UGR19, with F&P IP54 150mm Cut Out, White, Silver reflector, WW *",Downlights,9727435303506,Active,B.14.L3,LOCATOR_MISMATCH,1,1,0,MA-B-16-L6-P2,0,stock_locator=B.14.L3 but stock is in [MA-B-16-L6-P2]
R1093-REFLECTOR-MS,Matt Silver Reflector for R1093 downlight range,Downlights,9727435304305,Active,MA-B-11-L1-P2,LOCATOR_MISMATCH,28,28,0,MA-B-10-L1-P2,0,stock_locator=MA-B-11-L1-P2 but stock is in [MA-B-10-L1-P2]
R1095-13,13w Driver to suit R1091-4 downlight range,Drivers,9727435298789,Active,MA-A-01-L4-P1,LOCATOR_MISMATCH,32.94,32.94,0,MA-A-01-L1-P1 | MA-A-02-L4-P1,4,"stock_locator=MA-A-01-L4-P1 but stock is in [MA-A-01-L1-P1, MA-A-02-L4-P1]"
R1095-18,18w Driver to suit R1092-4 downlight range,Drivers,9727435298543,Active,MA-A-02-L4-P1,LOCATOR_MISMATCH,385,385,0,MA-A-01-L4-P1 | MA-A-02-L4-P2 | MA-A-07-L6-P2 | MA-C-10-L5-P1,0,"stock_locator=MA-A-02-L4-P1 but stock is in [MA-A-01-L4-P1, MA-A-02-L4-P2, MA-A-07-L6-P2, MA-C-10-L5-P1]"
R1095-30,30w Driver to suit R1094 downlight,Drivers,,Active,MA-A-02-L4-P2,LOCATOR_MISMATCH,26,26,0,MA-A-02-L1-P2,0,stock_locator=MA-A-02-L4-P2 but stock is in [MA-A-02-L1-P2]
R1095-40,40w Driver to suit R135 downlight,Drivers,,Active,A.PRODUCTION_SHELF.L2,LOCATOR_MISMATCH,6,6,0,MA-A-02-L1-P2,0,stock_locator=A.PRODUCTION_SHELF.L2 but stock is in [MA-A-02-L1-P2]
R1160-WH,"13w Dimmable Surface Mount Downlight COB Style With Reflector IP54, White",Downlights,9727435301649,Active,MA-C-09-L2,LOCATOR_MISMATCH,1,1,0,MA-PRODUCTION,0,stock_locator=MA-C-09-L2 but stock is in [MA-PRODUCTION]
R1161-BK-V2,"18w Dimmable Surface Mount Downlight, COB Style With Reflector, IP54, Tri Colour, White Or Black Black",Downlights,9727435552485,Active,MA-C-09-L2,LOCATOR_MISMATCH,56,56,0,MA-E-07-L8-P2,0,stock_locator=MA-C-09-L2 but stock is in [MA-E-07-L8-P2]
R1161-WH-V1,"18w Dimmable Surface Mount Downlight Cob Style With Reflector, IP54. White",Downlights,9727435305029,Active,C.09.L2,LOCATOR_MISMATCH,7,7,0,MA-C-09-L2,0,stock_locator=C.09.L2 but stock is in [MA-C-09-L2]
R1301-WW,"35w Dimmable Rectangle Shoplighter with Remote Driver, White Trim Warm White 3000K",Downlights,9727435363036,Active,MA-A-13-L1,LOCATOR_MISMATCH,45,45,0,MA-C-14-L2 | MA-D-16-L7-P2,0,"stock_locator=MA-A-13-L1 but stock is in [MA-C-14-L2, MA-D-16-L7-P2]"
R1306-WH-CW-V1,"24w LED Dimmable Round Scoop Downlight Remote Driver, IP20 4000K - CW White *",Downlights,9727435305319,Active,C.14.L2,LOCATOR_MISMATCH,1,1,0,MA-C-14-L2,0,stock_locator=C.14.L2 but stock is in [MA-C-14-L2]
R1306-WH-WW-V1,"24w LED Dimmable Round Scoop Downlight Remote Driver, IP20 3000K - WW White *",Downlights,9727435303476,Active,C.14.L2,LOCATOR_MISMATCH,1,1,0,MA-C-14-L2,0,stock_locator=C.14.L2 but stock is in [MA-C-14-L2]
R131M-Reflector-24,24 Degree Reflector to suit R131 Module,Downlights,9727435307696,Active,MA-A-02-L5-P1,LOCATOR_MISMATCH,238,238,0,MA-A-02-L5-P2,0,stock_locator=MA-A-02-L5-P1 but stock is in [MA-A-02-L5-P2]
R2151-SC-C-CW,"2w Step Light, 70mm x 70mm, Satin Chrome, Clear Lens, Cool White 4000K *",Step Lights,9727435303964,Active,MA-C-08-L3,LOCATOR_MISMATCH,2,2,0,MA-C-14-L3,0,stock_locator=MA-C-08-L3 but stock is in [MA-C-14-L3]
R2151-SC-C-WW,"2w Step Light, 70mm x 70mm, Satin Chrome, Clear Lens, Warm White 3000K *",Step Lights,9727435303667,Active,C.15.L3,LOCATOR_MISMATCH,4,4,0,MA-C-14-L3 | MA-DOCK,0,"stock_locator=C.15.L3 but stock is in [MA-C-14-L3, MA-DOCK]"
R2151-SC-O-CW,"2w Step Light, 70mm x 70mm, Satin Chrome, Opal Lens, Cool White 4000K *",Step Lights,9727435307634,Active,C.15.L3,LOCATOR_MISMATCH,65,65,0,MA-C-14-L3 | MA-D-09-L4-P2,0,"stock_locator=C.15.L3 but stock is in [MA-C-14-L3, MA-D-09-L4-P2]"
R2151-SC-O-WW,"2w Step Light, 70mm x 70mm, Satin Chrome, Opal Lens, Warm White 3000K *",Step Lights,9727435304282,Active,MA-C-08-L3,LOCATOR_MISMATCH,2,2,0,MA-C-15-L3,0,stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3]
R2151-WH-O-CW,"2w Step Light, 70mm x 70mm, White, Opal Lens, Cool White 4000K",Step Lights,9727435308068,Active,MA-C-08-L3,LOCATOR_MISMATCH,99,99,0,MA-C-15-L3,0,stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3]
R2152-SC-C-CW,"3w Step Light, 110mm x 70mm, Satin Chrome, Clear Lens, Cool White 4000K *",Step Lights,9727435308501,Active,MA-C-08-L3,LOCATOR_MISMATCH,95,95,0,MA-C-15-L3 | MA-D-09-L4-P2 | MA-DOCK,0,"stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3, MA-D-09-L4-P2, MA-DOCK]"
R2152-SC-C-WW,"3w Step Light, 110mm x 70mm, Satin Chrome, Clear Lens, Warm White 3000K *",Step Lights,9727435308310,Active,MA-C-08-L3,LOCATOR_MISMATCH,234,234,0,MA-C-15-L3 | MA-D-09-L4-P2,0,"stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3, MA-D-09-L4-P2]"
R2152-SC-O-WW,"3w Step Light, 110mm x 70mm, Satin Chrome, Opal Lens, Warm White 3000K *",Step Lights,9727435304527,Active,MA-C-08-L3,LOCATOR_MISMATCH,6,6,0,MA-C-15-L3 | MA-DOCK,0,"stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3, MA-DOCK]"
R2152-WH-C-CW,"3w Step Light, 110mm x 70mm, White, Clear Lens, Cool White 4000K *",Step Lights,9727435303063,Active,MA-C-08-L3,LOCATOR_MISMATCH,19,19,0,MA-C-15-L3 | MA-D-09-L4-P2,0,"stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3, MA-D-09-L4-P2]"
R2152-WH-C-WW,"3w Step Light, 110mm x 70mm, White, Clear Lens, Warm White 3000K *",Step Lights,9727435308020,Active,MA-C-08-L3,LOCATOR_MISMATCH,19,19,0,MA-C-15-L3,0,stock_locator=MA-C-08-L3 but stock is in [MA-C-15-L3]
R2152-WH-O-CW,"3w Step Light, 110mm x 70mm, White, Opal Lens, Cool White 4000K *",Step Lights,9727435304107,Active,D.11.04,LOCATOR_MISMATCH,5,5,0,MA-C-15-L3 | MA-D-09-L4-P2,0,"stock_locator=D.11.04 but stock is in [MA-C-15-L3, MA-D-09-L4-P2]"
R2152-WH-O-WW,"3w Step Light, 110mm x 70mm, White, Opal Lens, Warm White 3000K *",Step Lights,9727435302639,Active,D.14.L4,LOCATOR_MISMATCH,38,38,0,MA-C-15-L3 | MA-D-09-L4-P2,0,"stock_locator=D.14.L4 but stock is in [MA-C-15-L3, MA-D-09-L4-P2]"
R2200-WW-IND-KIT_30%,30% 3000K Indirect Kit suit R2200,LINEAR,0,Active,MA-B-02-L1-P1,LOCATOR_MISMATCH,22,22,0,MA-B-02-L2,0,stock_locator=MA-B-02-L1-P1 but stock is in [MA-B-02-L2]
R2201-WH-WW-V1,"29w 1167mm Rapidline Linear extrusion, White, 3000k *",LINEAR,9727435421309,Active,MA-D-08-L3,LOCATOR_MISMATCH,6,6,0,MA-D-08-L5,0,stock_locator=MA-D-08-L3 but stock is in [MA-D-08-L5]
R2202-WH-WW,"45w 2330mm Rapidline Linear Extrusion, White, 3000k V2",LINEAR,9727435303322,Active,MA-D-07-L3,LOCATOR_MISMATCH,1,1,0,MA-DOCK,0,stock_locator=MA-D-07-L3 but stock is in [MA-DOCK]
R2202-WW-IND-KIT_30%,30% 3000K Indirect Kit suit R2202,LINEAR,9727435533118,Active,MA-B-01-L4,LOCATOR_MISMATCH,84,84,0,MA-B-02-L4,0,stock_locator=MA-B-01-L4 but stock is in [MA-B-02-L4]
R2206-BK-WW-DALI,"29w 1167mm Rapidline Linear Extrusion - Louvre, Black, 3000k  DALI",Strip Light & Extrusion,,Active,MA-D-08-L1,LOCATOR_MISMATCH,4,4,0,MA-DOCK,0,stock_locator=MA-D-08-L1 but stock is in [MA-DOCK]
R2206-WH-WW-V1,"29w 1167mm Rapidline Linear Extrusion - Louvre, White, 3000k *",Strip Light & Extrusion,,Active,D.08.L1,LOCATOR_MISMATCH,66,66,0,MA-C-14-L6-P1,0,stock_locator=D.08.L1 but stock is in [MA-C-14-L6-P1]
R2207-BK-WW-DALI,"45w 2330mm Rapidline Linear Extrusion - Louvre, Black, 3000k V2, DALI",Strip Light & Extrusion,,Active,MA-E-07-L1-P1,LOCATOR_MISMATCH,3,3,0,MA-DOCK,0,stock_locator=MA-E-07-L1-P1 but stock is in [MA-DOCK]
R2322-RGBW-2,"10w 24v, Rapid Neoflex Dual powered, RGBW, IP67 - Top bend, 2m roll",Strip Light & Extrusion,9727435316469,Active,MA-A-08-L1,LOCATOR_MISMATCH,10,10,0,MA-A-11-L3,0,stock_locator=MA-A-08-L1 but stock is in [MA-A-11-L3]
