Order Number	Order Date	Fulfilled Date	Customer	SKU	Product Name	Qty	Picked Bin	Expected Bin	Error Type	Total Picks	Correct Picks	Anomaly Picks
SO-252433	2026-03-23	2026-03-23	Green Switch Electrical	RSS	Rapid Standard Connect Surface Socket	10	MA-B-07-L6-P2	MA-G-02-L1-P1	different_area	3	1	2
SO-251918	2026-03-20	2026-03-23	Cash Sale	RSS	Rapid Standard Connect Surface Socket	60	MA-B-07-L5-P2	MA-G-02-L1-P1	different_area	2	0	2
SO-251918	2026-03-20	2026-03-23	Cash Sale	R1060-WH-TRI	8w Dimmable White COB Downlight, IP44 90mm Cutout, Tri Colour, 50o UGR19 w/ F&P	3	MA-A-04-L7-P1	MA-B-13-L1-P1	different_area	2	0	2
SO-252432	2026-03-23	2026-03-23	Green Switch Electrical	R9992-WH	Exit Light LED 4W Quick Connect	6	MA-G-04-L4-P1	MA-G-05-L1-P1	same_section	4	0	4
SO-252432	2026-03-23	2026-03-23	Green Switch Electrical	R5510	360o Surface mount sensor, IP20, White	6	MA-D-13-L6-P2	MA-D-11-L3	same_section	4	0	4
SO-252432	2026-03-23	2026-03-23	Green Switch Electrical	R3540-EM-TRI	40W -24W 1200mm Wide Body WP Opal Batten IP65 Tri Colour - Emergency	12	MA-A-09-L6-P1	MA-E-02-L1	different_area	4	0	4
SO-252432	2026-03-23	2026-03-23	Green Switch Electrical	R3540-TRI	40W - 24W 1200mm Wide Body WP Opal Batten IP65 Tri Colour	12	MA-C-08-L4-P2	MA-E-01-L1	different_area	4	0	4
SO-252457	2026-03-23	2026-03-24	Track3 Electrical	12v-IP67-060w	R2918 60w, 12VDC Weatherproof LED Driver With Flex & Plug, IP67	1	MA-A-09-L3	MA-A-10-L2	same_section	6	5	1
SO-252469	2026-03-23	2026-03-24	Jdk Electrical Solutions Pty Ltd	R2340-XW-2	5w 24V 8mm COB LED Strip Light, IP20, 2700K WW, 2m roll	1	MA-A-09-L1	MA-A-09-L1-P1	pallet_only	2	1	1
SO-252374	2026-03-23	2026-03-24	flashlec	R3058	Pole Mount Adaptor 76mm To Suit Commercial Floodlight Range, Black	5	MA-F-16-L2	MA-F-16-L1	same_column	2	1	1
SO-252583	2026-03-24	2026-03-24	AZZ Industries Electrical Contracting Pty Ltd	R9992-WH	Exit Light LED 4W Quick Connect	1	MA-G-04-L4-P1	MA-G-05-L1-P1	same_section	1	0	1
SO-252601	2026-03-24	2026-03-24	Cash Sale	R9996-S-WH	3w LED Surface Mounted Blade Exit Light	1	MA-G-05-L1-P1	MA-G-04-L1-P1	same_section	1	0	1
SO-252303	2026-03-23	2026-03-24	The Lighting Superstore	R2201-BK-CW	29w 1167mm Rapidline Linear extrusion, Black, 4000k V2	2	MA-D-08-L3	MA-D-07-L6-P2	same_section	5	4	1
SO-252335	2026-03-23	2026-03-24	Solace Trust t/a Solace Electrical	R3206-TRI-SM	30w Tri Colour Surface Mount Backlit LED Panel kit 1200mm x 300mm x 25mm White	6	MA-C-04-L6-P1	MA-C-06-L1	same_section	3	2	1
SO-252581	2026-03-24	2026-03-24	Electroseck Pty Ltd	R9996-S-WH	3w LED Surface Mounted Blade Exit Light	1	MA-G-05-L1-P1	MA-G-04-L1-P1	same_section	1	0	1
